pretrain_step,rl_step,n_rollouts,resp_len_mean,resp_len_median,resp_len_p95,resp_len_max,trunc_rate
25000,2400,1024,775.4,263,3584,3670,0.1152
25000,2450,1024,699.6,215,3584,3819,0.0986
25000,2500,1024,921.1,302,3585,3802,0.1523
25000,2550,1024,820.4,257,3585,3726,0.124
25000,2600,1024,779.5,250,3584,3760,0.1348
25000,2650,1024,766.2,215,3584,3836,0.1299
25000,2700,1024,832.0,213,3584,3725,0.1436
25000,2750,1024,794.9,232,3584,3862,0.1318
25000,2800,1024,867.9,248,3584,3910,0.1465
25000,2850,1024,924.2,299,3585,3788,0.1611
25000,2900,1024,837.7,241,3585,3824,0.1465
25000,2950,1024,692.6,195,3584,3768,0.1152
25000,3000,1024,837.3,238,3585,3688,0.1387
25000,3050,1024,861.0,216,3585,3720,0.1553
25000,3100,1024,866.1,215,3585,3807,0.1621
25000,3150,1024,807.0,222,3584,3651,0.1221
25000,3200,1024,793.8,206,3584,3727,0.1367
25000,3250,1024,759.6,207,3584,3707,0.1328
25000,3300,1024,818.9,201,3584,3645,0.1475
25000,3350,1024,956.5,238,3584,3770,0.1768
25000,3400,1024,869.1,207,3584,3686,0.1602
25000,3450,1024,836.1,194,3585,3951,0.1523
30000,50,1024,516.5,469,953,3626,0.0039
30000,100,1024,459.9,433,794,3588,0.001
30000,150,1024,416.5,377,757,2761,0.0
30000,200,1024,404.0,365,729,3585,0.001
30000,250,1024,393.8,368,710,3585,0.001
30000,300,1024,349.1,300,683,1508,0.0
30000,350,1024,342.6,293,672,2360,0.0
30000,400,1024,346.8,303,684,3585,0.001
30000,450,1024,347.3,281,702,3584,0.001
30000,500,1024,322.8,269,680,1795,0.0
30000,550,1024,304.9,256,636,1666,0.0
30000,600,1024,356.5,305,718,3586,0.001
30000,650,1024,317.7,240,703,3293,0.0
30000,700,1024,339.4,271,758,2528,0.0
30000,750,1024,332.9,281,688,3584,0.002
30000,800,1024,296.0,234,687,3584,0.001
30000,850,1024,303.5,249,647,3583,0.0
30000,900,1024,325.5,257,693,3584,0.001
30000,950,1024,310.6,239,700,3584,0.001
30000,1000,1024,296.8,211,654,3607,0.0039
30000,1050,1024,300.5,234,635,3641,0.0029
30000,1100,1024,322.8,247,718,3584,0.001
30000,1150,1024,326.1,244,703,3584,0.001
30000,1200,1024,280.1,221,619,3584,0.001
30000,1250,1024,306.2,217,688,3666,0.0039
30000,1300,1024,314.4,226,689,3588,0.0029
30000,1350,1024,344.9,267,768,3586,0.0039
30000,1400,1024,360.2,252,885,3586,0.0029
30000,1450,1024,380.6,250,958,3611,0.0098
30000,1500,1024,347.2,221,807,3953,0.0098
30000,1550,1024,383.5,280,894,3887,0.0078
30000,1600,1024,380.7,264,876,3601,0.0078
30000,1650,1024,332.0,219,750,3585,0.0078
30000,1700,1024,398.7,254,911,3765,0.0137
30000,1750,1024,390.5,234,982,3667,0.0186
30000,1800,1024,397.2,231,1075,3590,0.0117
30000,1850,1024,447.6,265,1250,3599,0.0215
30000,1900,1024,378.2,217,1049,3663,0.0215
30000,1950,1024,457.7,245,1565,3626,0.0342
30000,2000,1024,390.9,217,1013,3597,0.0225
30000,2050,1024,467.3,258,1489,3604,0.0342
30000,2100,1024,456.5,250,1525,3652,0.0312
30000,2150,1024,447.8,231,1435,3593,0.0322
30000,2200,1024,392.9,199,923,3598,0.0283
30000,2250,1024,423.2,227,1402,3854,0.0303
30000,2300,1024,592.4,281,3584,3735,0.0605
30000,2350,1024,494.5,230,2363,3639,0.0342
30000,2400,1024,550.5,268,3584,3634,0.0557
30000,2450,1024,533.4,235,3396,3721,0.0459
30000,2500,1024,589.1,278,3584,3750,0.0537
30000,2550,1024,535.4,251,3150,3627,0.0449
30000,2600,1024,592.6,252,3584,3721,0.0693
30000,2650,1024,542.0,216,3584,3610,0.0615
30000,2700,1024,577.7,232,3584,3732,0.0635
30000,2750,1024,599.9,252,3584,3965,0.0664
30000,2800,1024,644.0,281,3585,3819,0.0723
30000,2850,1024,673.8,276,3585,3836,0.0869
30000,2900,1024,653.0,246,3584,3702,0.0762
30000,2950,1024,533.4,214,3584,3777,0.0615
30000,3000,1024,713.6,238,3586,3814,0.1016
30000,3050,1024,706.4,220,3585,3806,0.1035
30000,3100,1024,734.7,247,3586,3882,0.1074
30000,3150,1024,727.1,228,3585,3718,0.1133
30000,3200,1024,691.7,207,3585,3704,0.1094
30000,3250,1024,620.0,226,3584,3726,0.0801
30000,3300,1024,644.4,213,3585,3796,0.1006
30000,3350,1024,728.3,249,3586,3703,0.1104
30000,3400,1024,802.3,239,3585,3774,0.1318
30000,3450,1024,663.2,213,3585,3729,0.0947
30000,3500,1024,816.5,210,3586,3772,0.1445
30000,3550,1024,944.6,304,3587,3838,0.1689
30000,3600,1024,877.0,287,3585,3760,0.1406
30000,3650,1024,761.3,221,3585,3641,0.1172
30000,3700,1024,735.5,246,3585,4081,0.1133
30000,3750,1024,842.4,238,3586,3712,0.1445
30000,3800,1024,1014.9,269,3589,3845,0.1904
30000,3850,1024,821.6,238,3586,3811,0.1406
30000,3900,1024,805.4,259,3587,3783,0.1289
35000,50,1024,531.0,492,934,3627,0.001
35000,100,1024,496.9,449,904,3609,0.0039
35000,150,1024,454.5,401,871,3587,0.002
35000,200,1024,426.1,376,795,3586,0.002
35000,250,1024,415.0,376,778,3545,0.0
35000,300,1024,363.2,299,712,3584,0.001
35000,350,1024,359.7,292,755,2404,0.0
35000,400,1024,360.0,307,733,3586,0.001
35000,450,1024,354.6,281,705,3584,0.002
35000,500,1024,341.1,263,793,3587,0.001
35000,550,1024,331.6,262,724,3786,0.002
35000,600,1024,327.1,257,737,3263,0.0
35000,650,1024,290.5,204,709,3584,0.001
35000,700,1024,343.3,259,739,3584,0.002
35000,750,1024,314.9,258,681,1564,0.0
35000,800,1024,308.4,216,731,3584,0.0049
35000,850,1024,324.0,260,683,3584,0.001
35000,900,1024,339.0,260,755,3581,0.0
35000,950,1024,308.5,232,734,3584,0.002
35000,1000,1024,304.9,211,681,3597,0.0029
35000,1050,1024,322.9,247,701,3584,0.0029
35000,1100,1024,331.9,248,704,3584,0.0039
35000,1150,1024,349.6,252,786,3645,0.0078
35000,1200,1024,343.3,243,765,3585,0.0068
35000,1250,1024,373.9,252,880,3585,0.0098
35000,1300,1024,376.9,237,865,3632,0.0127
35000,1350,1024,392.7,276,855,3585,0.0107
35000,1400,1024,403.5,260,893,3682,0.0137
35000,1450,1024,396.9,243,938,3653,0.0156
35000,1500,1024,388.0,228,952,3683,0.0117
35000,1550,1024,401.9,283,894,3585,0.0117
35000,1600,1024,471.8,278,1106,3588,0.0283
35000,1650,1024,432.8,243,1085,3641,0.0166
35000,1700,1024,474.9,278,1411,3727,0.0215
35000,1750,1024,449.4,227,1488,3764,0.0283
